docid,wordcount,f,ipm
"volkov.sled_za_kormoi","54632",1, 0.01030
"strugatskii.strana_bagrovykh_tuch","156224",1, 0.01030
"sventickaa.vorobi","1309",1, 0.01030
"bremener.dostoineishij","6706",1, 0.01030
"vlasov.probnyy_kamen","50022",1, 0.01030
"kreps_mints.taina_pokinutogo_korablia","5105",1, 0.01030
"sotnik.nevidannaia_ptica","3912",1, 0.01030
"sokolovsky.dom_na_ulitce_ovrajnoy","55606",1, 0.01030
"shim.leto_na_korbe","4670",1, 0.01030
"prishvin.sinij_lapot","696",1, 0.01030
"sher.novyy_dom","7722",1, 0.01030
"serebrovskaya.nachalo_zhizni","103317",1, 0.01030
"vereyskaya.lastochka","2640",1, 0.01030
"samsonov.po_tu_storonu","62078",1, 0.01030
"artamonova.dva_slona_v_posudnoy_lavke","28745",1, 0.01030
"ryss.shestero_shli_v_put","144284",1, 0.01030
"ryabinin.rasskazy_o_vernom_druge","99244",1, 0.01030
"sotnik.arhimed_vovki_grushina","18435",1, 0.01030
"gurevich.topol_stremitelnyi","29238",1, 0.01030
"dragunskaya.celovatsya_zapreshcheno","18558",1, 0.01030
"romanchenko_olga.galina_skazka","2262",1, 0.01030
"sotnikov.prostofilya_kriminalnyiy_talant","32650",1, 0.01030
"radzievskaya.bolotnye_robinzony","27543",1, 0.01030
"perovskaya.marmotka","4303",1, 0.01030
"prozorovsky.chyzhie_vetry","57005",1, 0.01030
"printsev_iuzef.strana_chudes","3673",1, 0.01030
"polyanskiy.esli_hochesh_bit_volshebnikom","39465",1, 0.01030
"dubrovin_evgeniy.v_ozhidanii_kozy","40075",1, 0.01030
"suslin.chudovische_v_kamyishah","35765",1, 0.01030
"platonov.volshebnoe_koltso","3404",1, 0.01030
"medvedev.eto_bylo_pod_rovno","56348",1, 0.01030
"likhanov.muzyka","8299",1, 0.01030
"ivanov_ustinova.zagadka_chyornoy_vdovyi","39754",1, 0.01030
"platonov.bezruchka","3746",1, 0.01030
"zheleznikov.chuchelo","43484",1, 0.01030
"toman.kogda_utihla_burya","10201",1, 0.01030
"dobryakov_vladimir.spasatel","3348",1, 0.01030
"paschenko.neobyknovennyi_match","5064",1, 0.01030
"panova.serezha","26523",1, 0.01030
"georgiev.u_nas_v_5_b","22044",1, 0.01030
"sedov_sergej.skazki_pro_vovu","10485",1, 0.01030
"oseeva.vasek_3","83974",1, 0.01030
"sharov.malenkye_stanovyatsya_bolshimi","31938",1, 0.01030
"kozhevnikov.zare_navstrechu","208610",1, 0.01030
"kulikov.spokoystvie_ne_vosstanovleno","43386",1, 0.01030
"nosov.veselaya_semeika","16296",1, 0.01030
"panteleev.paket","12915",1, 0.01030
"nosov.dnevnik_koli_sinicina","18483",1, 0.01030
"nikitin.bolshoy_put","19718",1, 0.01030
"pogodin_radiy.lazorevyy_petuh_moego_detstva","2025",1, 0.01030
"naryshkina.vavka","12623",1, 0.01030
"bahrevskiy.malchik_iz_podnebesya","2288",1, 0.01030
"musatov.dom_na_gore","89034",1, 0.01030
"taits.neugasimyi_svet","47490",1, 0.01030
"sharov.sevka_savka_romka","20489",1, 0.01030
"telpugov.vse_po_mestam","36748",1, 0.01030
"minutko.devochka_iz_nashego_klassa","10183",1, 0.01030
"aleksin.kolya","31227",1, 0.01030
"vinkman.eto_bylo_v_gorakh","41027",1, 0.01030
"krapivin_vladislav.belyi_shchenok_ishchet_hoziaina","18548",1, 0.01030
"metter.tovarishi","35108",1, 0.01030
"matveev.semnadtsatiletnie","149351",1, 0.01030
"vitkovich_viktor.skazka_o_maliarnoi_kisti","15085",1, 0.01030
"vereyskaya.fonarik","3334",1, 0.01030
"yakovlev.gde_stoiala_batareia","1042",1, 0.01030
"gubarev_vitali.chasy_vekov","15494",1, 0.01030
"perfileva.vo_chto_by_to_ni_stalo","79952",1, 0.01030
"kosodemianskaia.povest_o_zoe_i_shure","59733",1, 0.01030
"kokovin.korabli_moego_detstva","1622",1, 0.01030
"kuznetsova.neobychainoye_puteshestviye","84480",1, 0.01030
"kotovshhikova.trusiha","146",1, 0.01030
"gurevich.iney_na_palmakh","35864",1, 0.01030
"koryakov.kostya_rabotyaga","11747",1, 0.01030
"kontorovich.kolka_i_natasha","71994",1, 0.01030
"kokovin.gostia_iz_zapolyarya","3932",1, 0.01030
"krapivin_vladislav.gusi_gusi_ga_ga_ga","55910",1, 0.01030
"kazantsev.marsianin","2772",1, 0.01030
"kasumov.na_dalnyh_beregah","79728",1, 0.01030
"aronov.circ_priehal","54355",1, 0.01030
